Ticker,MICROSOFT CORPORATION (XNAS:MSFT),"Microsoft Corporation is a technology company. The Company develops and supports software, services, devices, and solutions. The Company’s segments include Productivity and Business Processes, Intelligent Cloud, and More Personal Computing. The Productivity and Business Processes segment consists of products and services in its portfolio of productivity, communication, and information services. This segment primarily comprises: Office Commercial, Office Consumer, LinkedIn, and Dynamics business solutions. The Intelligent Cloud segment consists of server products and cloud services, including Azure and other cloud services, SQL Server, Windows Server, Visual Studio, System Center, and related Client Access Licenses (CALs), and Nuance and GitHub; and Enterprise Services, including enterprise support services, industry solutions and Nuance professional services. The More Personal Computing segment primarily comprises Windows, Devices, Gaming, and search and news advertising.",MICROSOFT CORPORATION,,,,,,,,,,,
End Date,27/02/2026,,Variance log-returns (daily),0.000287076,,T,1,,u,1.088777,,,,
Lookback,10,,StDev log-returns (daily),0.016943329,,N time steps,10,,d,0.918462,,,,
Start Date,01/03/2016,,No. of obs.,252,,dt,0.1,,r,0.038,,,,
Frequency,0,,StDev (annualized),0.268967007,,,,,q,0.501103,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date,Closing price,Log-returns,,,,,,,,,,,,
27/05/2021, $249.31 ,-0.008706125,,,,,,,,,,,,
28/05/2021, $249.68 ,0.001482996,,,,,,,,,,,,
01/06/2021, $247.40 ,-0.009173638,,,,,,,,,,,,
02/06/2021, $247.30 ,-0.000404285,,,,,,,,,,,,
03/06/2021, $245.71 ,-0.006450196,,,,,,,,,,,,
04/06/2021, $250.79 ,0.020463957,,,,,,,,,,,,
07/06/2021, $253.81 ,0.01197002,,,,,,,,,,,,
08/06/2021, $252.57 ,-0.004897518,,,,,,,,,,,,
09/06/2021, $253.59 ,0.004030352,,,,,,,,,,,,
10/06/2021, $257.24 ,0.014290712,,,,,,,,,,,,
11/06/2021, $257.89 ,0.002523636,,,,,,,,,,,,
14/06/2021, $259.89 ,0.007725327,,,,,,,,,,,,
15/06/2021, $258.36 ,-0.005904503,,,,,,,,,,,,
16/06/2021, $257.38 ,-0.003800369,,,,,,,,,,,,
17/06/2021, $260.90 ,0.0135836,,,,,,,,,,,,
18/06/2021, $259.43 ,-0.005650275,,,,,,,,,,,,
21/06/2021, $262.63 ,0.012259281,,,,,,,,,,,,
22/06/2021, $265.51 ,0.010906307,,,,,,,,,,,,
23/06/2021, $265.28 ,-0.000885481,,,,,,,,,,,,
24/06/2021, $266.69 ,0.005319911,,,,,,,,,,,,
25/06/2021, $265.02 ,-0.00628164,,,,,,,,,,,,
28/06/2021, $268.72 ,0.01386465,,,,,,,,,,,,
29/06/2021, $271.40 ,0.009923802,,,,,,,,,,,,
30/06/2021, $270.90 ,-0.001843998,,,,,,,,,,,,
01/07/2021, $271.60 ,0.002580647,,,,,,,,,,,,
02/07/2021, $277.65 ,0.022030932,,,,,,,,,,,,
06/07/2021, $277.66 ,3.60159E-05,,,,,,,,,,,,
07/07/2021, $279.93 ,0.008142228,,,,,,,,,,,,
08/07/2021, $277.42 ,-0.009006969,,,,,,,,,,,,
09/07/2021, $277.94 ,0.00187266,,,,,,,,,,,,
12/07/2021, $277.32 ,-0.002233189,,,,,,,,,,,,
13/07/2021, $280.98 ,0.013111418,,,,,,,,,,,,
14/07/2021, $282.51 ,0.005430456,,,,,,,,,,,,
15/07/2021, $281.03 ,-0.005252523,,,,,,,,,,,,
16/07/2021, $280.75 ,-0.000996832,,,,,,,,,,,,
19/07/2021, $277.01 ,-0.013410987,,,,,,,,,,,,
20/07/2021, $279.32 ,0.008304471,,,,,,,,,,,,
21/07/2021, $281.40 ,0.007419067,,,,,,,,,,,,
22/07/2021, $286.14 ,0.016704057,,,,,,,,,,,,
23/07/2021, $289.67 ,0.012261142,,,,,,,,,,,,
26/07/2021, $289.05 ,-0.00214266,,,,,,,,,,,,
27/07/2021, $286.54 ,-0.008721541,,,,,,,,,,,,
28/07/2021, $286.22 ,-0.001117397,,,,,,,,,,,,
29/07/2021, $286.50 ,0.00097779,,,,,,,,,,,,
30/07/2021, $284.91 ,-0.005565195,,,,,,,,,,,,
02/08/2021, $284.82 ,-0.000315939,,,,,,,,,,,,
03/08/2021, $287.12 ,0.008042845,,,,,,,,,,,,
04/08/2021, $286.51 ,-0.002126807,,,,,,,,,,,,
05/08/2021, $289.52 ,0.01045094,,,,,,,,,,,,
06/08/2021, $289.46 ,-0.000207261,,,,,,,,,,,,
09/08/2021, $288.33 ,-0.003911461,,,,,,,,,,,,
10/08/2021, $286.44 ,-0.006576567,,,,,,,,,,,,
11/08/2021, $286.95 ,0.001778894,,,,,,,,,,,,
12/08/2021, $289.81 ,0.009917551,,,,,,,,,,,,
13/08/2021, $292.85 ,0.010434997,,,,,,,,,,,,
16/08/2021, $294.60 ,0.005957971,,,,,,,,,,,,
17/08/2021, $293.08 ,-0.005172895,,,,,,,,,,,,
18/08/2021, $290.73 ,-0.008050608,,,,,,,,,,,,
19/08/2021, $296.77 ,0.020562427,,,,,,,,,,,,
20/08/2021, $304.36 ,0.025253783,,,,,,,,,,,,
23/08/2021, $304.65 ,0.000952365,,,,,,,,,,,,
24/08/2021, $302.62 ,-0.006685684,,,,,,,,,,,,
25/08/2021, $302.01 ,-0.002017764,,,,,,,,,,,,
26/08/2021, $299.09 ,-0.009715598,,,,,,,,,,,,
27/08/2021, $299.72 ,0.002104174,,,,,,,,,,,,
30/08/2021, $303.59 ,0.012829401,,,,,,,,,,,,
31/08/2021, $301.88 ,-0.005648519,,,,,,,,,,,,
01/09/2021, $301.83 ,-0.000165642,,,,,,,,,,,,
02/09/2021, $301.15 ,-0.002255465,,,,,,,,,,,,
03/09/2021, $301.14 ,-3.32066E-05,,,,,,,,,,,,
07/09/2021, $300.18 ,-0.003192978,,,,,,,,,,,,
08/09/2021, $300.21 ,9.9935E-05,,,,,,,,,,,,
09/09/2021, $297.25 ,-0.009908694,,,,,,,,,,,,
10/09/2021, $295.71 ,-0.005194291,,,,,,,,,,,,
13/09/2021, $296.99 ,0.004319224,,,,,,,,,,,,
14/09/2021, $299.79 ,0.009383761,,,,,,,,,,,,
15/09/2021, $304.82 ,0.016639209,,,,,,,,,,,,
16/09/2021, $305.22 ,0.00131139,,,,,,,,,,,,
17/09/2021, $299.87 ,-0.017683781,,,,,,,,,,,,
20/09/2021, $294.30 ,-0.018749392,,,,,,,,,,,,
21/09/2021, $294.80 ,0.001697505,,,,,,,,,,,,
22/09/2021, $298.58 ,0.012740743,,,,,,,,,,,,
23/09/2021, $299.56 ,0.003276828,,,,,,,,,,,,
24/09/2021, $299.35 ,-0.000701274,,,,,,,,,,,,
27/09/2021, $294.17 ,-0.017455626,,,,,,,,,,,,
28/09/2021, $283.52 ,-0.036875164,,,,,,,,,,,,
29/09/2021, $284.00 ,0.001691571,,,,,,,,,,,,
30/09/2021, $281.92 ,-0.007350895,,,,,,,,,,,,
01/10/2021, $289.10 ,0.025149306,,,,,,,,,,,,
04/10/2021, $283.11 ,-0.020937134,,,,,,,,,,,,
05/10/2021, $288.76 ,0.019760379,,,,,,,,,,,,
06/10/2021, $293.11 ,0.014952072,,,,,,,,,,,,
07/10/2021, $294.85 ,0.005918787,,,,,,,,,,,,
08/10/2021, $294.85 ,0,,,,,,,,,,,,
11/10/2021, $294.23 ,-0.002104978,,,,,,,,,,,,
12/10/2021, $292.88 ,-0.004598806,,,,,,,,,,,,
13/10/2021, $296.31 ,0.011643235,,,,,,,,,,,,
14/10/2021, $302.75 ,0.021501179,,,,,,,,,,,,
15/10/2021, $304.21 ,0.00481087,,,,,,,,,,,,
18/10/2021, $307.29 ,0.010073675,,,,,,,,,,,,
19/10/2021, $308.23 ,0.00305433,,,,,,,,,,,,
20/10/2021, $307.41 ,-0.002663896,,,,,,,,,,,,
21/10/2021, $310.76 ,0.010838549,,,,,,,,,,,,
22/10/2021, $309.16 ,-0.005161968,,,,,,,,,,,,
25/10/2021, $308.13 ,-0.00333717,,,,,,,,,,,,
26/10/2021, $310.11 ,0.006405301,,,,,,,,,,,,
27/10/2021, $323.17 ,0.041251427,,,,,,,,,,,,
28/10/2021, $324.35 ,0.003644679,,,,,,,,,,,,
29/10/2021, $331.62 ,0.022166555,,,,,,,,,,,,
01/11/2021, $329.37 ,-0.006807996,,,,,,,,,,,,
